Year,Month,Region,Nationality,Visitors (1000s),Avg Stay (nights),Revenue (Million €)
2021,1,Tyrol,Germany,326,6,123.56392333709131
2021,1,Tyrol,Austria,94,6,35.62886133032694
2021,1,Tyrol,Netherlands,80,6,30.322435174746335
2021,1,Tyrol,UK,60,6,22.74182638105975
2021,1,Tyrol,USA,43,6,16.298308906426154
2021,1,Tyrol,China,40,6,15.161217587373168
2021,1,Tyrol,Switzerland,118,6,44.72559188275084
2021,1,Tyrol,Italy,39,6,14.78218714768884
2021,1,Tyrol,France,42,6,15.919278466741826
2021,1,Tyrol,Other,45,6,17.056369785794814
2021,2,Tyrol,Germany,294,6,98.53493449781661
2021,2,Tyrol,Austria,82,6,27.482532751091703
2021,2,Tyrol,Netherlands,95,6,31.839519650655024
2021,2,Tyrol,UK,76,6,25.471615720524017
2021,2,Tyrol,USA,49,6,16.42248908296943
2021,2,Tyrol,China,46,6,15.41703056768559
2021,2,Tyrol,Switzerland,130,6,43.569868995633186
2021,2,Tyrol,Italy,44,6,14.746724890829695
2021,2,Tyrol,France,58,6,19.43886462882096
2021,2,Tyrol,Other,42,6,14.0764192139738
2021,3,Tyrol,Germany,142,5,53.87328244274809
2021,3,Tyrol,Austria,42,5,15.934351145038168
2021,3,Tyrol,Netherlands,37,5,14.037404580152671
2021,3,Tyrol,UK,35,5,13.278625954198473
2021,3,Tyrol,USA,19,5,7.208396946564886
2021,3,Tyrol,China,14,5,5.311450381679389
2021,3,Tyrol,Switzerland,53,5,20.10763358778626
2021,3,Tyrol,Italy,25,5,9.48473282442748
2021,3,Tyrol,France,15,5,5.690839694656488
2021,3,Tyrol,Other,11,5,4.173282442748092
2021,4,Tyrol,Germany,128,4,33.239257294429706
2021,4,Tyrol,Austria,43,4,11.16631299734748
2021,4,Tyrol,Netherlands,42,4,10.90663129973475
2021,4,Tyrol,UK,32,4,8.309814323607426
2021,4,Tyrol,USA,13,4,3.3758620689655174
2021,4,Tyrol,China,18,4,4.674270557029177
2021,4,Tyrol,Switzerland,41,4,10.646949602122016
2021,4,Tyrol,Italy,20,4,5.193633952254642
2021,4,Tyrol,France,21,4,5.453315649867375
2021,4,Tyrol,Other,19,4,4.933952254641911
2021,5,Tyrol,Germany,145,6,39.84892086330935
2021,5,Tyrol,Austria,46,6,12.641726618705034
2021,5,Tyrol,Netherlands,46,6,12.641726618705034
2021,5,Tyrol,UK,40,6,10.992805755395683
2021,5,Tyrol,USA,20,6,5.496402877697841
2021,5,Tyrol,China,23,6,6.320863309352517
2021,5,Tyrol,Switzerland,49,6,13.466187050359713
2021,5,Tyrol,Italy,20,6,5.496402877697841
2021,5,Tyrol,France,14,6,3.847482014388489
2021,5,Tyrol,Other,14,6,3.847482014388489
2021,6,Tyrol,Germany,167,5,51.236854460093895
2021,6,Tyrol,Austria,42,5,12.885915492957745
2021,6,Tyrol,Netherlands,44,5,13.499530516431925
2021,6,Tyrol,UK,29,5,8.897417840375585
2021,6,Tyrol,USA,19,5,5.829342723004694
2021,6,Tyrol,China,21,5,6.442957746478872
2021,6,Tyrol,Switzerland,49,5,15.033568075117369
2021,6,Tyrol,Italy,15,5,4.602112676056338
2021,6,Tyrol,France,18,5,5.522535211267605
2021,6,Tyrol,Other,22,5,6.749765258215962
2021,7,Tyrol,Germany,161,5,49.76724137931035
2021,7,Tyrol,Austria,38,5,11.746305418719212
2021,7,Tyrol,Netherlands,41,5,12.673645320197044
2021,7,Tyrol,UK,21,5,6.491379310344827
2021,7,Tyrol,USA,21,5,6.491379310344827
2021,7,Tyrol,China,19,5,5.873152709359606
2021,7,Tyrol,Switzerland,46,5,14.219211822660098
2021,7,Tyrol,Italy,25,5,7.727832512315271
2021,7,Tyrol,France,15,5,4.636699507389163
2021,7,Tyrol,Other,19,5,5.873152709359606
2021,8,Tyrol,Germany,136,5,45.46702412868633
2021,8,Tyrol,Austria,35,5,11.70107238605898
2021,8,Tyrol,Netherlands,34,5,11.366756032171583
2021,8,Tyrol,UK,29,5,9.695174262734584
2021,8,Tyrol,USA,28,5,9.360857908847185
2021,8,Tyrol,China,16,5,5.349061662198392
2021,8,Tyrol,Switzerland,41,5,13.706970509383378
2021,8,Tyrol,Italy,20,5,6.68632707774799
2021,8,Tyrol,France,20,5,6.68632707774799
2021,8,Tyrol,Other,14,5,4.680428954423593
2021,9,Tyrol,Germany,147,5,30.11984536082474
2021,9,Tyrol,Austria,39,5,7.9909793814432994
2021,9,Tyrol,Netherlands,39,5,7.9909793814432994
2021,9,Tyrol,UK,37,5,7.5811855670103085
2021,9,Tyrol,USA,13,5,2.663659793814433
2021,9,Tyrol,China,16,5,3.2783505154639174
2021,9,Tyrol,Switzerland,37,5,7.5811855670103085
2021,9,Tyrol,Italy,24,5,4.917525773195877
2021,9,Tyrol,France,16,5,3.2783505154639174
2021,9,Tyrol,Other,20,5,4.097938144329897
2021,10,Tyrol,Germany,156,3,77.17101449275363
2021,10,Tyrol,Austria,41,3,20.282125603864735
2021,10,Tyrol,Netherlands,49,3,24.23961352657005
2021,10,Tyrol,UK,32,3,15.829951690821256
2021,10,Tyrol,USA,19,3,9.399033816425122
2021,10,Tyrol,China,17,3,8.409661835748793
2021,10,Tyrol,Switzerland,53,3,26.21835748792271
2021,10,Tyrol,Italy,14,3,6.925603864734299
2021,10,Tyrol,France,15,3,7.420289855072465
2021,10,Tyrol,Other,18,3,8.904347826086957
2021,11,Tyrol,Germany,134,4,52.997
2021,11,Tyrol,Austria,43,4,17.0065
2021,11,Tyrol,Netherlands,30,4,11.864999999999998
2021,11,Tyrol,UK,39,4,15.4245
2021,11,Tyrol,USA,18,4,7.118999999999999
2021,11,Tyrol,China,30,4,11.864999999999998
2021,11,Tyrol,Switzerland,47,4,18.588499999999996
2021,11,Tyrol,Italy,21,4,8.305499999999999
2021,11,Tyrol,France,22,4,8.700999999999999
2021,11,Tyrol,Other,16,4,6.327999999999999
2021,12,Tyrol,Germany,290,2,74.97722095671982
2021,12,Tyrol,Austria,81,2,20.941913439635538
2021,12,Tyrol,Netherlands,83,2,21.458997722095674
2021,12,Tyrol,UK,89,2,23.01025056947608
2021,12,Tyrol,USA,53,2,13.702733485193622
2021,12,Tyrol,China,57,2,14.736902050113896
2021,12,Tyrol,Switzerland,114,2,29.47380410022779
2021,12,Tyrol,Italy,38,2,9.824601366742597
2021,12,Tyrol,France,41,2,10.600227790432802
2021,12,Tyrol,Other,32,2,8.273348519362186
2021,1,Salzburg,Germany,371,4,137.64763014763014
2021,1,Salzburg,Austria,131,4,48.60334110334111
2021,1,Salzburg,Netherlands,126,4,46.74825174825175
2021,1,Salzburg,UK,126,4,46.74825174825175
2021,1,Salzburg,USA,70,4,25.97125097125097
2021,1,Salzburg,China,99,4,36.73076923076923
2021,1,Salzburg,Switzerland,128,4,47.49028749028749
2021,1,Salzburg,Italy,59,4,21.890054390054388
2021,1,Salzburg,France,109,4,40.440947940947936
2021,1,Salzburg,Other,68,4,25.22921522921523
2021,2,Salzburg,Germany,338,4,80.49618456078083
2021,2,Salzburg,Austria,108,4,25.7206743566992
2021,2,Salzburg,Netherlands,115,4,27.387755102040813
2021,2,Salzburg,UK,120,4,28.57852706299911
2021,2,Salzburg,USA,54,4,12.8603371783496
2021,2,Salzburg,China,90,4,21.433895297249336
2021,2,Salzburg,Switzerland,114,4,27.149600709849153
2021,2,Salzburg,Italy,66,4,15.71818988464951
2021,2,Salzburg,France,69,4,16.43265306122449
2021,2,Salzburg,Other,53,4,12.622182786157941
2021,3,Salzburg,Germany,155,2,61.69056261343014
2021,3,Salzburg,Austria,58,2,23.08421052631579
2021,3,Salzburg,Netherlands,62,2,24.676225045372053
2021,3,Salzburg,UK,57,2,22.686206896551724
2021,3,Salzburg,USA,19,2,7.562068965517241
2021,3,Salzburg,China,34,2,13.532123411978223
2021,3,Salzburg,Switzerland,70,2,27.860254083484573
2021,3,Salzburg,Italy,28,2,11.14410163339383
2021,3,Salzburg,France,40,2,15.920145190562614
2021,3,Salzburg,Other,28,2,11.14410163339383
2021,4,Salzburg,Germany,156,6,49.850922509225086
2021,4,Salzburg,Austria,66,6,21.090774907749076
2021,4,Salzburg,Netherlands,56,6,17.89520295202952
2021,4,Salzburg,UK,53,6,16.93653136531365
2021,4,Salzburg,USA,27,6,8.628044280442804
2021,4,Salzburg,China,53,6,16.93653136531365
2021,4,Salzburg,Switzerland,50,6,15.977859778597784
2021,4,Salzburg,Italy,23,6,7.349815498154982
2021,4,Salzburg,France,33,6,10.545387453874538
2021,4,Salzburg,Other,25,6,7.988929889298892
2021,5,Salzburg,Germany,170,4,75.83993660855785
2021,5,Salzburg,Austria,70,4,31.228209191759113
2021,5,Salzburg,Netherlands,74,4,33.01267828843106
2021,5,Salzburg,UK,60,4,26.76703645007924
2021,5,Salzburg,USA,36,4,16.060221870047545
2021,5,Salzburg,China,51,4,22.751980982567357
2021,5,Salzburg,Switzerland,62,4,27.659270998415213
2021,5,Salzburg,Italy,36,4,16.060221870047545
2021,5,Salzburg,France,45,4,20.07527733755943
2021,5,Salzburg,Other,27,4,12.045166402535656
2021,6,Salzburg,Germany,177,6,48.08149405772496
2021,6,Salzburg,Austria,51,6,13.853989813242784
2021,6,Salzburg,Netherlands,66,6,17.92869269949066
2021,6,Salzburg,UK,61,6,16.570458404074703
2021,6,Salzburg,USA,38,6,10.32258064516129
2021,6,Salzburg,China,32,6,8.69269949066214
2021,6,Salzburg,Switzerland,73,6,19.830220713073004
2021,6,Salzburg,Italy,27,6,7.33446519524618
2021,6,Salzburg,France,37,6,10.050933786078097
2021,6,Salzburg,Other,27,6,7.33446519524618
2021,7,Salzburg,Germany,156,6,44.91977401129944
2021,7,Salzburg,Austria,61,6,17.564783427495293
2021,7,Salzburg,Netherlands,44,6,12.669679849340868
2021,7,Salzburg,UK,49,6,14.109416195856875
2021,7,Salzburg,USA,34,6,9.790207156308853
2021,7,Salzburg,China,49,6,14.109416195856875
2021,7,Salzburg,Switzerland,47,6,13.53352165725047
2021,7,Salzburg,Italy,28,6,8.062523540489643
2021,7,Salzburg,France,42,6,12.093785310734464
2021,7,Salzburg,Other,21,6,6.046892655367232
2021,8,Salzburg,Germany,154,6,41.09566854990583
2021,8,Salzburg,Austria,52,6,13.876459510357813
2021,8,Salzburg,Netherlands,53,6,14.143314500941619
2021,8,Salzburg,UK,43,6,11.474764595103577
2021,8,Salzburg,USA,25,6,6.671374764595103
2021,8,Salzburg,China,47,6,12.542184557438793
2021,8,Salzburg,Switzerland,48,6,12.809039548022598
2021,8,Salzburg,Italy,36,6,9.60677966101695
2021,8,Salzburg,France,40,6,10.674199623352164
2021,8,Salzburg,Other,33,6,8.806214689265536
2021,9,Salzburg,Germany,164,3,55.86715063520871
2021,9,Salzburg,Austria,50,3,17.03266787658802
2021,9,Salzburg,Netherlands,53,3,18.054627949183303
2021,9,Salzburg,UK,51,3,17.373321234119782
2021,9,Salzburg,USA,18,3,6.131760435571687
2021,9,Salzburg,China,44,3,14.988747731397458
2021,9,Salzburg,Switzerland,59,3,20.098548094373864
2021,9,Salzburg,Italy,33,3,11.241560798548093
2021,9,Salzburg,France,44,3,14.988747731397458
2021,9,Salzburg,Other,35,3,11.922867513611614
2021,10,Salzburg,Germany,173,2,48.088135593220336
2021,10,Salzburg,Austria,53,2,14.732203389830508
2021,10,Salzburg,Netherlands,49,2,13.620338983050848
2021,10,Salzburg,UK,53,2,14.732203389830508
2021,10,Salzburg,USA,33,2,9.172881355932203
2021,10,Salzburg,China,31,2,8.616949152542372
2021,10,Salzburg,Switzerland,40,2,11.118644067796609
2021,10,Salzburg,Italy,25,2,6.949152542372881
2021,10,Salzburg,France,44,2,12.230508474576272
2021,10,Salzburg,Other,30,2,8.338983050847457
2021,11,Salzburg,Germany,147,2,30.014828897338404
2021,11,Salzburg,Austria,61,2,12.45513307984791
2021,11,Salzburg,Netherlands,55,2,11.23003802281369
2021,11,Salzburg,UK,56,2,11.434220532319392
2021,11,Salzburg,USA,31,2,6.329657794676806
2021,11,Salzburg,China,46,2,9.392395437262358
2021,11,Salzburg,Switzerland,53,2,10.821673003802282
2021,11,Salzburg,Italy,23,2,4.696197718631179
2021,11,Salzburg,France,32,2,6.53384030418251
2021,11,Salzburg,Other,22,2,4.4920152091254755
2021,12,Salzburg,Germany,396,2,144.77259036144576
2021,12,Salzburg,Austria,144,2,52.644578313253014
2021,12,Salzburg,Netherlands,117,2,42.77371987951807
2021,12,Salzburg,UK,138,2,50.45105421686747
2021,12,Salzburg,USA,62,2,22.6664156626506
2021,12,Salzburg,China,94,2,34.3652108433735
2021,12,Salzburg,Switzerland,137,2,50.08546686746988
2021,12,Salzburg,Italy,72,2,26.322289156626507
2021,12,Salzburg,France,79,2,28.881400602409638
2021,12,Salzburg,Other,89,2,32.537274096385545
2021,1,Vienna,Germany,125,1,34.68992248062015
2021,1,Vienna,Austria,87,1,24.144186046511624
2021,1,Vienna,Netherlands,41,1,11.37829457364341
2021,1,Vienna,UK,51,1,14.15348837209302
2021,1,Vienna,USA,33,1,9.15813953488372
2021,1,Vienna,China,61,1,16.928682170542636
2021,1,Vienna,Switzerland,31,1,8.603100775193798
2021,1,Vienna,Italy,24,1,6.660465116279069
2021,1,Vienna,France,37,1,10.268217054263566
2021,1,Vienna,Other,26,1,7.215503875968992
2021,2,Vienna,Germany,122,2,32.59645232815964
2021,2,Vienna,Austria,74,2,19.771618625277164
2021,2,Vienna,Netherlands,34,2,9.084257206208425
2021,2,Vienna,UK,42,2,11.221729490022172
2021,2,Vienna,USA,27,2,7.213968957871397
2021,2,Vienna,China,49,2,13.092017738359202
2021,2,Vienna,Switzerland,24,2,6.412416851441241
2021,2,Vienna,Italy,22,2,5.878048780487805
2021,2,Vienna,France,39,2,10.420177383592018
2021,2,Vienna,Other,18,2,4.809312638580931
2021,3,Vienna,Germany,120,1,33.961783439490446
2021,3,Vienna,Austria,73,1,20.660084925690022
2021,3,Vienna,Netherlands,36,1,10.188535031847135
2021,3,Vienna,UK,44,1,12.452653927813163
2021,3,Vienna,USA,31,1,8.773460721868366
2021,3,Vienna,China,59,1,16.69787685774947
2021,3,Vienna,Switzerland,15,1,4.245222929936306
2021,3,Vienna,Italy,24,1,6.79235668789809
2021,3,Vienna,France,46,1,13.018683651804674
2021,3,Vienna,Other,23,1,6.509341825902337
2021,4,Vienna,Germany,121,1,56.52725321888411
2021,4,Vienna,Austria,64,1,29.89871244635193
2021,4,Vienna,Netherlands,30,1,14.015021459227466
2021,4,Vienna,UK,51,1,23.825536480686694
2021,4,Vienna,USA,33,1,15.416523605150214
2021,4,Vienna,China,54,1,25.22703862660944
2021,4,Vienna,Switzerland,19,1,8.876180257510729
2021,4,Vienna,Italy,22,1,10.277682403433477
2021,4,Vienna,France,47,1,21.9568669527897
2021,4,Vienna,Other,25,1,11.679184549356222
2021,5,Vienna,Germany,120,3,27.173333333333336
2021,5,Vienna,Austria,77,3,17.436222222222224
2021,5,Vienna,Netherlands,28,3,6.3404444444444445
2021,5,Vienna,UK,34,3,7.699111111111112
2021,5,Vienna,USA,23,3,5.208222222222223
2021,5,Vienna,China,66,3,14.945333333333334
2021,5,Vienna,Switzerland,30,3,6.793333333333334
2021,5,Vienna,Italy,22,3,4.981777777777778
2021,5,Vienna,France,34,3,7.699111111111112
2021,5,Vienna,Other,16,3,3.623111111111111
2021,6,Vienna,Germany,224,1,85.82138919514884
2021,6,Vienna,Austria,132,1,50.573318632855575
2021,6,Vienna,Netherlands,62,1,23.754134509371553
2021,6,Vienna,UK,102,1,39.07938257993385
2021,6,Vienna,USA,53,1,20.305953693495038
2021,6,Vienna,China,110,1,42.14443219404631
2021,6,Vienna,Switzerland,47,1,18.007166482910694
2021,6,Vienna,Italy,41,1,15.70837927232635
2021,6,Vienna,France,86,1,32.94928335170893
2021,6,Vienna,Other,50,1,19.156560088202866
2021,7,Vienna,Germany,244,2,117.10069238377844
2021,7,Vienna,Austria,148,2,71.02828882294757
2021,7,Vienna,Netherlands,92,2,44.15272007912957
2021,7,Vienna,UK,98,2,47.0322453016815
2021,7,Vienna,USA,74,2,35.51414441147379
2021,7,Vienna,China,130,2,62.38971315529179
2021,7,Vienna,Switzerland,46,2,22.076360039564786
2021,7,Vienna,Italy,52,2,24.955885262116713
2021,7,Vienna,France,79,2,37.913748763600395
2021,7,Vienna,Other,48,2,23.036201780415432
2021,8,Vienna,Germany,220,3,85.41637010676156
2021,8,Vienna,Austria,125,3,48.53202846975089
2021,8,Vienna,Netherlands,74,3,28.730960854092526
2021,8,Vienna,UK,86,3,33.39003558718861
2021,8,Vienna,USA,61,3,23.683629893238436
2021,8,Vienna,China,108,3,41.93167259786477
2021,8,Vienna,Switzerland,44,3,17.083274021352313
2021,8,Vienna,Italy,35,3,13.588967971530248
2021,8,Vienna,France,57,3,22.130604982206407
2021,8,Vienna,Other,33,3,12.812455516014236
2021,9,Vienna,Germany,123,3,60.001923076923084
2021,9,Vienna,Austria,76,3,37.07435897435898
2021,9,Vienna,Netherlands,38,3,18.53717948717949
2021,9,Vienna,UK,43,3,20.976282051282055
2021,9,Vienna,USA,39,3,19.025
2021,9,Vienna,China,45,3,21.95192307692308
2021,9,Vienna,Switzerland,26,3,12.683333333333334
2021,9,Vienna,Italy,20,3,9.756410256410257
2021,9,Vienna,France,41,3,20.000641025641027
2021,9,Vienna,Other,17,3,8.292948717948718
2021,10,Vienna,Germany,97,2,46.59072398190045
2021,10,Vienna,Austria,80,2,38.425339366515836
2021,10,Vienna,Netherlands,44,2,21.13393665158371
2021,10,Vienna,UK,50,2,24.0158371040724
2021,10,Vienna,USA,26,2,12.488235294117647
2021,10,Vienna,China,57,2,27.37805429864254
2021,10,Vienna,Switzerland,17,2,8.165384615384616
2021,10,Vienna,Italy,19,2,9.126018099547512
2021,10,Vienna,France,32,2,15.370135746606337
2021,10,Vienna,Other,20,2,9.606334841628959
2021,11,Vienna,Germany,129,2,43.83040152963671
2021,11,Vienna,Austria,71,2,24.12370936902485
2021,11,Vienna,Netherlands,58,2,19.706692160611855
2021,11,Vienna,UK,47,2,15.969216061185469
2021,11,Vienna,USA,34,2,11.552198852772467
2021,11,Vienna,China,69,2,23.44416826003824
2021,11,Vienna,Switzerland,22,2,7.4749521988527725
2021,11,Vienna,Italy,22,2,7.4749521988527725
2021,11,Vienna,France,44,2,14.949904397705545
2021,11,Vienna,Other,27,2,9.173804971319312
2021,12,Vienna,Germany,144,1,35.209090909090904
2021,12,Vienna,Austria,70,1,17.1155303030303
2021,12,Vienna,Netherlands,48,1,11.736363636363636
2021,12,Vienna,UK,55,1,13.447916666666666
2021,12,Vienna,USA,30,1,7.3352272727272725
2021,12,Vienna,China,66,1,16.1375
2021,12,Vienna,Switzerland,24,1,5.868181818181818
2021,12,Vienna,Italy,24,1,5.868181818181818
2021,12,Vienna,France,41,1,10.024810606060605
