loan_amnt,int_rate,grade,annual_inc,dti,fico_range_low,delinq_2yrs,open_acc,revol_bal,default_status
3600.0,13.99,2,55000.0,5.91,675.0,0.0,7.0,2765.0,0
24700.0,11.99,2,65000.0,16.06,715.0,1.0,22.0,21470.0,0
20000.0,10.78,1,63000.0,10.78,695.0,0.0,6.0,7869.0,0
10400.0,22.45,5,104433.0,25.37,695.0,1.0,12.0,21929.0,0
11950.0,13.44,2,34000.0,10.2,690.0,0.0,5.0,8822.0,0
20000.0,9.17,1,180000.0,14.67,680.0,0.0,12.0,87329.0,0
20000.0,8.49,1,85000.0,17.61,705.0,1.0,8.0,826.0,0
10000.0,6.49,0,85000.0,13.07,685.0,0.0,14.0,10464.0,0
8000.0,11.48,1,42000.0,34.8,700.0,0.0,8.0,7034.0,0
1400.0,12.88,2,64000.0,34.95,700.0,0.0,17.0,37828.0,0
18000.0,19.48,4,150000.0,9.39,665.0,0.0,18.0,14052.0,1
28000.0,6.49,0,92000.0,21.6,720.0,0.0,16.0,51507.0,0
9600.0,7.49,0,60000.0,22.44,695.0,0.0,7.0,7722.0,0
25000.0,7.49,0,109000.0,26.02,745.0,0.0,9.0,20862.0,0
18000.0,11.99,2,112000.0,8.68,800.0,0.0,17.0,10711.0,0
8650.0,19.89,4,55000.0,25.49,675.0,0.0,18.0,9568.0,0
29900.0,12.88,2,65000.0,21.77,715.0,0.0,15.0,31682.0,0
16000.0,14.85,2,48000.0,33.18,685.0,0.0,11.0,19108.0,0
28000.0,13.44,2,125000.0,7.49,695.0,0.0,6.0,22780.0,0
5000.0,13.44,2,79000.0,12.7,665.0,0.0,3.0,9441.0,0
6000.0,7.49,0,100000.0,13.28,695.0,1.0,9.0,8563.0,0
4225.0,14.85,2,35000.0,15.22,725.0,2.0,6.0,1058.0,1
20000.0,5.32,0,65000.0,18.83,835.0,0.0,12.0,2269.0,0
16000.0,17.97,3,109000.0,23.35,680.0,0.0,11.0,42469.0,0
17600.0,5.32,0,88000.0,26.59,780.0,0.0,20.0,12203.0,0
15000.0,5.32,0,44000.0,15.34,685.0,0.0,7.0,17003.0,0
16000.0,12.88,2,65000.0,18.96,675.0,0.0,7.0,5157.0,1
24250.0,24.24,5,75000.0,20.84,660.0,0.0,18.0,24799.0,1
12000.0,10.78,1,98000.0,24.04,690.0,0.0,15.0,20462.0,0
25000.0,13.99,2,79000.0,34.53,730.0,0.0,33.0,22519.0,1
7000.0,7.49,0,59000.0,13.06,730.0,1.0,10.0,10467.0,0
21000.0,13.99,2,52000.0,14.47,680.0,0.0,5.0,20374.0,0
27500.0,14.85,2,195000.0,6.79,700.0,0.0,14.0,34974.0,0
7200.0,11.48,1,72500.0,8.47,725.0,0.0,5.0,5449.0,0
20000.0,14.85,2,110000.0,12.45,690.0,0.0,8.0,21374.0,0
20000.0,15.77,3,70000.0,22.21,680.0,0.0,24.0,19077.0,0
10000.0,17.97,3,55000.0,35.7,685.0,0.0,14.0,38623.0,1
20000.0,9.8,1,75000.0,23.45,725.0,0.0,14.0,7558.0,0
8650.0,5.32,0,100000.0,7.28,750.0,0.0,15.0,7158.0,0
21000.0,13.44,2,54649.0,12.14,670.0,0.0,9.0,1581.0,0
7200.0,15.77,3,55000.0,17.35,680.0,0.0,24.0,5938.0,0
8800.0,9.8,1,92000.0,5.18,665.0,0.0,9.0,9195.0,0
2500.0,17.27,3,50000.0,17.6,670.0,3.0,7.0,732.0,0
11000.0,9.17,1,69000.0,21.34,680.0,0.0,9.0,8137.0,0
10000.0,12.88,2,91392.0,9.44,710.0,0.0,13.0,6959.0,0
28000.0,18.49,3,75000.0,31.88,685.0,0.0,27.0,43413.0,0
35000.0,11.99,2,128000.0,6.46,685.0,0.0,17.0,14277.0,0
7200.0,9.17,1,50000.0,19.25,675.0,0.0,13.0,9051.0,0
10000.0,7.91,0,40100.0,10.81,680.0,0.0,4.0,6664.0,0
16000.0,13.44,2,42000.0,9.6,670.0,0.0,29.0,11834.0,1
21875.0,11.99,2,47590.0,17.76,700.0,0.0,9.0,24882.0,0
14025.0,18.49,3,39000.0,18.0,675.0,0.0,12.0,15646.0,0
35000.0,12.88,2,106000.0,17.36,730.0,0.0,8.0,39055.0,1
20000.0,12.88,2,145000.0,12.28,695.0,0.0,12.0,22551.0,0
14000.0,14.85,2,60000.0,24.29,690.0,0.0,11.0,12718.0,1
