loan_amnt,dti,emp_length,accepted
3600.0,5.91,10+ years,1
24700.0,16.06,10+ years,1
20000.0,10.78,10+ years,1
10400.0,25.37,3 years,1
11950.0,10.2,4 years,1
20000.0,14.67,10+ years,1
20000.0,17.61,10+ years,1
10000.0,13.07,6 years,1
8000.0,34.8,10+ years,1
1400.0,34.95,3 years,1
18000.0,9.39,7 years,1
28000.0,21.6,10+ years,1
9600.0,22.44,8 years,1
25000.0,26.02,10+ years,1
18000.0,8.68,10+ years,1
8650.0,25.49,8 years,1
29900.0,21.77,10+ years,1
16000.0,33.18,10+ years,1
28000.0,7.49,2 years,1
5000.0,12.7,2 years,1
6000.0,13.28,10+ years,1
4225.0,15.22,5 years,1
20000.0,18.83,9 years,1
16000.0,23.35,< 1 year,1
17600.0,26.59,< 1 year,1
15000.0,15.34,10+ years,1
16000.0,18.96,10+ years,1
24250.0,20.84,4 years,1
12000.0,24.04,1 year,1
25000.0,34.53,9 years,1
7000.0,13.06,10+ years,1
21000.0,14.47,< 1 year,1
27500.0,6.79,10+ years,1
7200.0,8.47,10+ years,1
20000.0,12.45,6 years,1
20000.0,22.21,5 years,1
10000.0,35.7,2 years,1
20000.0,23.45,5 years,1
8650.0,7.28,< 1 year,1
21000.0,12.14,2 years,1
7200.0,17.35,< 1 year,1
8800.0,5.18,10+ years,1
2500.0,17.6,10+ years,1
11000.0,21.34,10+ years,1
10000.0,9.44,4 years,1
28000.0,31.88,10+ years,1
35000.0,6.46,10+ years,1
7200.0,19.25,10+ years,1
10000.0,10.81,2 years,1
16000.0,9.6,1 year,1
21875.0,17.76,< 1 year,1
14025.0,18.0,10+ years,1
35000.0,17.36,7 years,1
20000.0,12.28,10+ years,1
14000.0,24.29,2 years,1
20000.0,16.9,10+ years,1
4200.0,26.21,10+ years,1
19000.0,13.09,9 years,1
15850.0,34.85,10+ years,1
30000.0,18.5,2 years,1
1500.0,16.11,,1
25000.0,9.54,1 year,1
20200.0,34.84,4 years,1
23975.0,33.2,10+ years,1
15000.0,29.28,10+ years,1
10000.0,15.78,3 years,1
